CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,ANIO,TIPO_DE_DELITO,ID_Categoria,CATEGORIA,INCIDENCIA,POBLACION,TASA
21106,21,106,Ocoyucan,2023,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,42669,0
21106,21,106,Ocoyucan,2024,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,42669,0
21106,21,106,Ocoyucan,2025,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,42669,0
21114,21,114,Puebla,2015,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,18,1656883,298.24
21114,21,114,Puebla,2016,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,11,1656883,182.26
21114,21,114,Puebla,2017,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,15,1656883,248.53
21114,21,114,Puebla,2018,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,13,1656883,215.39
21114,21,114,Puebla,2019,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,21,1656883,347.95
21114,21,114,Puebla,2020,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,9,1692181,152.3
21114,21,114,Puebla,2021,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,9,1711529,154.04
21114,21,114,Puebla,2022,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,18,1724831,310.47
21114,21,114,Puebla,2023,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,19,1738577,330.33
21114,21,114,Puebla,2024,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,18,1752924,315.53
